srcid,Mode,Q1,Q2,Q3,Q4,Q5a,Q5b,Q5c,Q5d,Q5e,Q5f,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q10a,Q10b,Q10c,Q10d,Q12,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q14,Q15,Q16,Q17a,Q17b,Q17c,Q17d,Q17e,Q17f,Q18,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,StateMap,p_gender_sdc,p_age_group_sdc,p_education_sdc,total_time_taken,avg_trust_Q8,Vdisagree_count,disagree_count,neutral_count,agree_count,Vagree_count,opinionated
901,2,1,16,4,4,2,2,1,1,1,1,2,3,2,3,2,3,3,2,3,5,3,2,5,7,3,7,8,5,5,2,2,2,1,1,2,1,2,2,3,3, , , , , , , , , , , , , , , ,3,2,2,3,10.0,5.0,2,5,2,6,5,F
1109,2,1,16,13,1,3,3,2,2,2,3,2,2,2,2,1,1,2,3,1,4,3,4,1,5,2,3,6,2,2,4,1,1,1,2,1,1,1,1,2,2, , , , , , , , , , , , , , , ,5,2,4,1,13.183333333333337,3.5,0,9,0,6,5,F
793,2,2,29,16,-98,1,1,1,1,1,1,3,3,5,4,1,1,2,1,1,9,9,4,1,5,3,2,8,1,2,1,2,2,1,1,2,1,2,2,3,3, , , , , , , , , , , , , , , ,5,1,4,1,35.43333333333335,5.125,0,0,2,5,13,T
1038,1,4,11,-98,4,4,3,2,1,1,3,2,1,3,1,1,1,1,1,2,4,5,5,2,4,3,8,8,1,5,5,1, , , , , , , , , ,4,3,3,3,3,3,3,-98,1,1,1,4,3,2,4,2,2,4,1,14.216666666666677,4.875,5,4,1,2,8,T
632,2,2,-98, ,3,1,1,1,1,1,1,-98,5,3,4,1,1,1,2,2,5,5,4,4,5,4,3,5,2,2,2,2, , , , , , , , , ,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,1,3,2,15.983333333333333,4.375,0,0,1,8,10,T
493,2,2,16,29,1,1,1,1,1,1,1,3,4,4,3,2,1,1,2,1,10,10,1,1,1,5,1,10,1,4,4,2, , , , , , , , , ,2,2,3,2,2,3,2,3,3,3,2,3,3,3,3,4,1,4,3,12.69999999999999,4.875,0,2,2,6,10,T
1537,2,2,4,1,3,2,2,2,2,2,1,3,3,3,2,4,4,2,4,4,8,8,8,1,5,6,6,7,4,4,2,4,2,1,1,2,1,2,1,3,3, , , , , , , , , , , , , , , ,2,2,2,1,12.883333333333331,6.125,4,4,3,8,1,F
1965,2,2,-98, ,3,4,4,3,2,2,2,4,2,2,2,2,2,2,2,2,7,7,9,6,7,6,8,8,4,4,4,2,3,2,1,2,1,2,2,2,3, , , , , , , , , , , , , , , ,1,2,1,3,7.18333333333333,7.25,2,7,0,11,0,F
877,2,2,1,1,3,3,4,2,2,2,2,4,4,2,2,2,2,2,2,2,3,4,3,2,4,4,2,4,2,4,2,2, , , , , , , , , ,2,1,2,3,2,2,1,2,3,3,2,3,3,3,3,4,2,2,3,7.966666666666665,3.25,1,4,0,15,0,F
1853,2,4,16,32,3,3,3,2,1,2,1,3,2,3,2,2,2,3,2,2,6,6,3,1,6,3,5,7,2,5,4,4, , , , , , , , , ,2,2,2,3,2,2,2,3,3,3,2,3,3,3,3,2,2,4,3,12.350000000000005,4.625,1,8,2,7,2,F
777,2,4,29,16,1,1,1,1,1,1,2,3,3,4,4,3,1,2,3,3,7,1,7,7,1,1,1,1,2,2,1,2,4,1,1,1,1,1,1,1,3, , , , , , , , , , , , , , , ,1,1,4,2,23.849999999999994,3.25,0,4,2,7,7,F
1102,2,2,17,4,1,2,2,2,2,3,2,2,2,3,3,2,3,2,2,2,5,5,5,3,5,3,5,7,2,4,2,2,2,2,2,2,1,2,1,3,3, , , , , , , , , , , , , , , ,1,1,3,2,20.616666666666667,4.75,0,5,2,13,0,F
676,2,2,1,13,101,4,1,2,1,3,1,2,2,1,2,2,2,2,3,1,6,6,8,4,5,4,4,7,4,2,4,4,1,1,2,1,1,2,2,3,1, , , , , , , , , , , , , , , ,3,2,2,3,6.533333333333331,5.5,2,8,0,6,4,F
1885,2,1,16,16,97,1,1,1,2,2,2,4,2,2,2,2,2,2,3,2,6,7,5,6,8,3,6,8,4,4,4,2, , , , , , , , , ,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,1,1,4,3,7.3333333333333375,6.125,0,7,0,9,4,F
930,2,2,35,96,-99,2,2,2,2,2,2,3,3,3,2,2,2,2,2,3,4,3,4,1,4,2,3,5,4,4,4,2, , , , , , , , , ,2,2,3,2,2,2,1,2,2,3,3,2,3,3,3,3,1,3,2,10.26666666666668,3.25,0,5,3,12,0,F
121,2,5,13,13,3,1,1,1,1,1,3,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1, , , , , , , , , ,1,1,1,4,1,1,3,1,1,1,1,1,1,1,4,3,1,1,3,8.51666666666667,1.0,4,1,1,2,12,T
2555,2,2,1,1,3,2,1,1,1,1,1,3,3,3,2,1,2,2,2,1,6,6,4,3,6,3,6,6,2,1,1,2,2,1,2,1,1,1,2,3,3, , , , , , , , , , , , , , , ,2,1,2,1,8.050000000000004,5.0,0,1,3,7,9,T
1671,1,2,1,29,101,3,2,2,2,1,1,2,3,5,2,3,2,3,1,1,8,5,3,9,5,5,5,5,2,4,4,1, , , , , , , , , ,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,3,3,13.583333333333337,5.625,0,7,1,6,6,F
54,2,2,8,5,1,1,1,1,1,1,1,4,5,4,5,1,1,3,2,3,7,7,1,1,10,1,1,10,1,4,2,1, , , , , , , , , ,2,3,2,2,2,2,3,3,3,4,2,3,3,3,3,4,2,3,3,16.849999999999994,4.75,0,3,0,5,12,T
379,2,2,20,11,4,2,2,2,1,1,1,3,3,4,4,3,1,3,3,2,7,8,5,3,7,5,5,9,2,2,5,1, , , , , , , , , ,2,1,3,3,1,3,2,4,4,3,3,4,3,3,3,3,1,3,3,10.516666666666666,6.125,1,3,2,9,5,F
824,2,4,16,19,3,1,1,1,1,1,1,3,3,3,5,1,1,1,1,1,7,6,7,7,6,7,5,5,1,1,1,1, , , , , , , , , ,3,3,2,3,3,3,3,2,2,3,2,3,3,3,2,2,1,2,1,5.069999999999982,6.25,0,1,3,0,16,T
1695,2,4,13,1,101,2,2,1,2,2,2,2,2,3,2,1,1,1,1,1,6,6,5,4,3,5,2,6,4,4,4,1,1,1,1,2,1,2,2,2,1, , , , , , , , , , , , , , , ,1,2,3,1,12.783333333333331,4.625,0,7,1,5,7,F
1817,2,4,11,37,4,2,2,2,2,2,2,2,3,3,3,3,3,3,4,3,7,7,7,3,8,5,5,9,5,5,5,4,2,2,1,2,1,2,2,3,3, , , , , , , , , , , , , , , ,1,1,2,1,5.300000000000001,6.375,4,7,3,6,0,F
601,2,2,17,13,1,1,1,1,1,1,1,2,2,4,4,3,2,4,3,3,9,9,4,1,7,1,2,9,2,2,4,1, , , , , , , , , ,1,1,2,3,1,1,2,3,4,4,1,3,4,4,4,3,2,3,2,17.683333333333334,5.25,1,6,0,6,7,F
792,2,1,16,29,101,3,3,1,1,1,1,2,3,4,3,4,3,4,4,3,8,8,7,2,6,6,6,9,5,5,4,2, , , , , , , , , ,1,1,2,2,1,4,1,3,3,3,3,3,4,3,3,3,1,3,1,9.116666666666672,6.5,5,6,2,2,5,T
401,2,4,15,1,101,1,1,1,1,1,1,2,1,2,3,1,2,1,1,2,1,1,1,1,2,4,2,3,2,2,2,2, , , , , , , , , ,3,2,3,3,2,3,3,3,4,4,1,3,3,3,3,3,1,2,3,14.633333333333328,1.875,1,3,1,6,9,T
1097,2,2,13,1,4,2,2,2,2,2,2,4,4,3,4,2,2,2,2,2,9,8,7,4,7,8,4,10,2,2,2,2, , , , , , , , , ,3,3,3,3,3,3,3,2,2,2,1,2,2,2,2,6,1,3,3,8.7,7.125,0,0,1,19,0,F
2021,2,4,11,96,4,3,3,2,2,2,2,2,2,2,3,2,2,1,2,1,4,4,4,2,4,2,2,5,4,4,4,4,3,2,1,2,1,2,2,3,3, , , , , , , , , , , , , , , ,1,1,3,1,8.633333333333338,3.375,0,10,1,7,2,F
475,2,1,1,1,3,1,2,1,1,1,3,4,2,4,4,2,2,2,2,2,2,5,5,5,6,5,6,5,4,4,2,2,2,1,1,1,1,1,1,4,2, , , , , , , , , , , , , , , ,6,2,2,1,4.450000000000001,4.875,0,4,0,11,5,F
1277,2,2,-98, ,1,2,2,2,2,1,1,4,4,3,3,2,2,3,3,2,5,6,5,5,8,4,3,6,5,5,5,5, , , , , , , , , ,2,2,2,3,2,3,2,2,2,2,2,2,2,3,3,2,2,2,1,7.3833333333333355,5.25,4,2,2,10,2,F
1090,2,1,16,29,101,2,2,1,1,1,1,3,4,4,4,3,2,2,2,3,9,8,8,6,8,8,7,10,2,4,2,2,3,1,1,1,2,1,2,2,3, , , , , , , , , , , , , , , ,3,1,4,1,11.583333333333337,8.0,0,3,1,11,5,F
705,2,4,96,-98,4,2,2,2,2,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,2, , , , , , , , , ,2,3,1,3,3,3,3,2,2,3,1,3,3,2,3,1,2,2,1,15.449999999999974,1.375,2,4,0,9,5,F
2086,2,2,4,4,3,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,1,7,1,1,5,2,4,4,2,1,1,2,1,1,1,1,2,2, , , , , , , , , , , , , , , ,2,1,3,2,9.433333333333339,2.25,1,5,0,4,10,T
1505,2,1,19,33,1,2,2,1,1,1,1,5,2,4,4,2,1,2,2,2,8,8,3,4,5,8,8,10,1,1,2,4, , , , , , , , , ,3,4,2,3,3,4,2,2,3,1,2,2,2,1,4,1,1,4,1,35.73333333333333,6.75,0,2,0,9,9,F
1110,2,2,13,1,101,2,2,1,1,1,1,3,2,2,4,3,2,2,2,1,2,5,2,2,6,2,5,8,4,2,2,2, , , , , , , , , ,1,3,2,3,2,3,2,3,3,3,1,3,3,4,3,1,1,3,2,8.403333333333345,4.0,0,4,1,10,5,F
2397,1,4,13,1,3,3,2,1,1,1,1,2,2,2,4,1,2,2,2,1,1,1,1,1,1,1, ,1,5,4,4,4,2,1,2,1,1,1,1,1,3, , , , , , , , , , , , , , , ,5,1,3,3,16.200000000000024,0.875,1,8,0,5,6,F
2582,1,2,1,13,1,2,2,2,2,2,2,5,4,2,2,1,1,2,1,1,7,8,8,4,7,5,4,7,1,2,2,1, , , , , , , , , ,4,4,4,4,4,4,3,3,3,1,2,4,2,3,3,1,2,3,3,14.050000000000002,6.25,0,2,0,11,7,F
347,2,4,11,20,4,2,2,2,2,3,2,1,1,1,2,3,3,2,4,1,6,6,2,2,6,2,4,8,4,4,2,2, , , , , , , , , ,3,3,3,4,2,3,3,2,3,1,2,3,3,2,4,1,2,2,3,10.150000000000002,4.5,4,7,0,8,1,F
1656,1,3,16,32,101,2,1,1,1,1,1,2,2,3,2,2,1,2,2,3,4,6,3,2,1,3,5,7,2,4,3,2, , , , , , , , , ,2,2,2,3,2,3,2,3,3,3,3,3,3,3,3,1,1,4,2,16.633333333333336,3.875,0,5,3,6,6,F
48,2,4,11,35,1,2,3,2,3,3,2,2,5,3,1,3,3,2,4,3,6,5,3,1,8,3,2,4,1,2,4,1, , , , , , , , , ,4,4,3,3,4,4,4,3,3,2,3,4,4,2,3,3,1,1,3,8.166666666666668,4.0,2,9,1,5,3,F
2543,2,2,6,11,1,2,2,1,2,2,2,3,2,3,2,2,2,3,3,1,7,4,6,4,8,5,6,7,2,4,2,2,3,2,1,2,2,1,2,2,2, , , , , , , , , , , , , , , ,1,1,1,3,52.47000000000007,5.875,0,5,2,11,2,F
2110,1,2,17,1,1,1,1,1,1,2,1,5,2,5,4,2,2,2,1,1,8,7,8,5,5,5,2,8,2,5,2,4,3,1,1,2,1,2,2,2,3, , , , , , , , , , , , , , , ,2,2,3,2,15.433333333333335,6.0,1,2,0,8,9,T
1546,2,2,11,20,3,2,2,2,2,2,2,4,5,2,4,1,2,1,2,2,5,8,5,5,5,5,7,8,1,4,4,2, , , , , , , , , ,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,8,2,2, ,7.800000000000001,6.0,0,3,0,13,4,F
1094,2,2,16,11,1,1,1,1,1,1,1,3,2,3,3,3,3,3,3,3,8,8,8,8,8,8,7,8,4,4,4,4,2,1,1,2,1,2,1,3,1, , , , , , , , , , , , , , , ,1,1,2,3,9.833333333333336,7.875,0,10,3,1,6,F
940,2,2,11,37,3,2,2,2,2,2,2,1,1,2,2,2,2,3,3,1,7,6,2,1,5,2,5,8,2,4,2,2,3,1,2,2,1,2,2,3,3, , , , , , , , , , , , , , , ,1,2,2,1,8.866666666666667,4.5,2,5,0,12,1,F
1089,1,2,1,13,1,2,2,2,2,1,2,3,4,2,3,1,1,3,2,2,5,5,1,1,1,1,1,8,3,3,4,2,2,1,-98,1,1,1,1,3,3, , , , , , , , , , , , , , , ,1,1,3,3,12.716666666666681,2.875,0,3,4,10,3,F
581,2,4,1,29,97,2,2,2,2,2,2,5,5,2,5,1,1,1,1,1,5,3,3,1,6,1,1,5,4,5,4,2, , , , , , , , , ,2,3,3,3,2,2,2,3,3,3,3,3,4,4,3,1,1,2,3,37.416666666666664,3.125,1,4,0,7,8,F
1607,1,4,16,13,3,1,2,2,1,1,1,3,3,2,2,1,1,2,2,1,6,8,8,1,8,1,1,8,2,5,5,5, , , , , , , , , ,1,1,2,3,2,3,2,1,1,2,2,3,2,3,1,3,2,4,3,12.066666666666658,5.125,3,3,2,5,7,T
1726,1,2,17,17,1,1,1,1,1,1,1,4,2,4,4,3,2,3,3,3,5,5,4,3,4,4,3,5,4,4,4,2,3,1,1,1,1,1,1,2,3, , , , , , , , , , , , , , , ,3,2,4,3,12.083333333333334,4.125,0,8,0,6,6,F
914,2,1,4,29,1,2,2,2,2,2,1,3,2,3,3,2,3,3,3,3,8,6,4,1,6,2,3,8,4,4,4,2,2,2,2,2,2,2,2,3,3, , , , , , , , , , , , , , , ,5,2,4,1,12.616666666666665,4.75,0,8,3,7,2,F
443,2,2,32,37,3,1,1,2,1,2,1,2,4,4,2,2,3,3,4,3,9,9,8,4,9,4,6,9,2,4,2,2, , , , , , , , , ,3,3,3,4,2,4,3,3,2,3,2,3,4,4,4,1,2,2,2,8.450000000000005,7.25,1,6,0,9,4,F
1744,2,2,1,4,101,1,1,2,1,1,1,5,5,5,5,2,1,1,1,1,10,9,10,9,8,7,5,8,4,4,5,2,3,1,1,2,1,1,1,2,3, , , , , , , , , , , , , , , ,3,2,2,3,13.933333333333335,8.25,1,2,0,4,13,T
1498,2,2,37,4,4,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,5,5,6,5,5,5,5,5,4,4,4,4,1,1,2,2,1,2,1,1,2, , , , , , , , , , , , , , , ,2,2,2,1,7.316666666666662,5.125,0,9,4,7,0,F
1209,2,2,32,16,1,2,1,2,2,2,1,2,2,4,2,1,1,3,3,1,6,5,8,7,7,3,6,8,2,4,4,2,2,1,1,2,1,2,2,2,2, , , , , , , , , , , , , , , ,1,1,2,1,23.650000000000013,6.25,0,7,0,8,5,F
1985,2,4,96,96,-99,4,4,4,4,4,4,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,2,1,1,1, , , , , , , , , ,2,4,2,3,2,4,2,1,3,2,1,3,3,4,4,2,2,2,2,3.9000000000000012,1.5,9,1,1,1,8,T
2435,2,4,35,20,4,2,2,2,2,2,3,2,1,2,5,2,1,2,2,2,2,3,3,2,3,3,2,3,1,1,1,1,3,1,1,1,1,1,1,2,2, , , , , , , , , , , , , , , ,1,2,3,2,18.43333333333333,2.625,1,4,0,9,6,F
1273,2,2,1,36,1,2,2,2,2,2,2,3,3,4,4,1,1,2,2,2,6,6,4,3,8,4,5,8,4,4,4,2,2,1,2,1,1,1,1,2,2, , , , , , , , , , , , , , , ,1,2,2,1,5.333333333333333,5.5,0,3,2,13,2,F
1407,2,2,-98, ,1,3,3,2,1,1,1,3,4,2,2,2,3,2,2,1,6,6,3,7,7,2,1,8,4,4,5,4,3,2,1,2,1,2,1,3,3, , , , , , , , , , , , , , , ,2,2,4,3,19.116666666666667,5.0,1,8,1,6,4,F
2018,2,2,1,6,1,2,2,2,1,2,2,3,3,3,4,3,3,3,4,3,8,7,9,3,9,6,7,7,4,4,4,2, , , , , , , , , ,2,2,2,3,2,4,2,2,2,2,2,3,3,3,4,5,1,2,1,8.050000000000002,7.0,1,7,3,8,1,F
1037,1,2,5,6,3,2,2,2,1,1,1,3,3,5,3,1,1,2,2,1,5,4,4,6,5,7,4,6,2,1,4,2, , , , , , , , , ,2,3,3,3,2,3,2,3,2,3,3,3,2,3,2,1,1,4,3,13.500000000000005,5.125,0,1,3,8,8,F
672,2,2,36,11,3,2,2,1,1,1,1,3,3,3,2,1,1,1,1,1,8,7,3,1,7,3,4,7,2,2,4,1, , , , , , , , , ,3,3,3,3,2,3,3,4,4,3,3,3,4,4,4,5,2, ,2,8.716666666666669,5.0,0,2,3,5,10,T
2431,1,1,16,11,3,2,3,3,2,3,1,2,4,2,2,3,3,2,3,2,4,3,3,2,5,3,2,3,2,2,3,1, , , , , , , , , ,1,2,2,2,1,1,1,2,2,3,2,3,3,2,3,4,2,2,3,14.89999999999999,3.125,0,9,1,7,3,F
1093,1,4,13,33,101,1,1,1,1,1,1,-98,5,-98,-98,4,1,3,3,-98,5,5,5, ,1, , ,5,4,4,5,5, , , , , , , , , ,-98,1,1,2,-99,1,-98,-98,-98,-98,-98,-98,-98,4,-98,3,2,4,3,29.11666666666666,2.625,3,5,1,0,8,T
2427,2,2,11,27,1,1,1,1,1,1,1,2,5,4,4,3,2,3,2,1,9,6,4,2,6,6,6,8,2,4,4,2,3,1,1,2,1,2,2,2,3, , , , , , , , , , , , , , , ,1,1,2,2,8.500000000000004,5.875,0,5,0,7,8,F
557,2,2,16,28,3,2,2,1,2,2,2,2,2,2,3,2,2,3,3,3,3,5,3,2,5,2,2,4,4,4,4,4, , , , , , , , , ,2,2,2,3,2,3,3,3,2,2,2,2,2,3,2,2,1,4,1,20.950000000000003,3.25,0,10,1,8,1,F
1192,2,4,11,1,101,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,2,6,1,1,1,1,3,1,1,2,1,2,2,3,2, , , , , , , , , , , , , , , ,5,1,3,3,8.966666666666663,2.125,4,2,0,5,9,T
841,2,2,16,1,1,2,2,1,2,2,1,3,4,3,3,2,1,2,2,2,7,7,6,5,8,6,4,8,2,4,4,4, , , , , , , , , ,3,3,3,4,3,3,3,3,3,3,2,3,3,3,3,5,1,3,2,8.116666666666669,6.375,0,3,3,11,3,F
545,2,4,11,1,3,4,3,2,2,3,3,1,1,1,2,2,1,1,1,1,2,2,2,1,1,2,1,4,2,2,1,1, , , , , , , , , ,2,3,2,3,1,2,3,3,3,2,2,3,4,4,4,2,1,3,2,8.866666666666674,1.875,4,5,0,5,6,T
694,2,2,1,-98,3,2,2,2,2,2,2,3,4,3,3,2,3,3,3,3,6,6,4,3,6,4,4,6,4,4,4,2, , , , , , , , , ,3,3,3,3,3,3,3,2,3,2,2,3,2,3,3,4,2,3,1,9.316666666666663,4.875,0,7,3,10,0,F
114,2,2,1,-98,3,2,2,2,2,2,1,4,4,4,3,2,2,3,3,2,8,8,5,3,7,4,3,8,2,4,2,2, , , , , , , , , ,-98,-98,-98,-98,-98,3,-98,-98,-98,-98,2,-98,-98,3,-98,4,2,4,3,11.566666666666663,5.75,0,3,1,15,1,F
492,2,2,20,6,4,1,1,1,1,2,1,3,1,3,4,2,3,3,3,1,7,7,5,3,7,5,6,7,2,4,2,4,3,1,2,2,1,2,1,2,3, , , , , , , , , , , , , , , ,2,2,2,1,6.983333333333335,5.875,1,5,2,6,6,F
881,2,4,15,13,1,1,1,1,1,1,1,5,5,5,5,1,2,2,2,2,4,4,1,1,5,2,1,4,2,4,4,2,3,2,1,2,2,2,2,3,3, , , , , , , , , , , , , , , ,1,2,2,1,6.900000000000007,2.75,0,3,0,6,11,T
351,2,4,13,5,1,3,3,4,4,3,1,5,4,2,1,3,4,2,4,2,5,6,7,1,10,1,1,10,4,5,5,2, , , , , , , , , ,3,3,3,4,2,3,2,1,3,2,-98,3,3,3,3,4,1,4,2,11.666666666666663,5.125,7,7,0,4,2,F
1912,2,2,96,20,4,2,2,2,2,2,2,3,4,4,4,2,4,1,4,3,9,9,3,2,9,2,4,9,1,2,2,4,3,1,1,2,1,2,2,3,3, , , , , , , , , , , , , , , ,2,2,1,1,5.133333333333336,5.875,2,2,1,13,2,F
1976,2,4,19,19,1,3,3,2,3,2,2,4,2,2,2,2,2,1,1,2,6,5,4,1,3,3,2,7,4,4,4,2, , , , , , , , , ,2,2,2,1,1,3,1,2,2,2,3,3,2,2,3,3,2,2,1,23.21666666666667,3.875,0,10,0,8,2,F
1790,2,4,16,30,101,1,1,1,1,1,1,4,4,2,1,1,1,1,1,1,1,1,3,1,1,4,1,2,1,4,2,1, , , , , , , , , ,3,4,3,3,3,3,3,3,2,3,2,3,3,3,4,1,1,2,2,13.149999999999993,1.75,1,3,0,3,13,T
1185,2,2,-98, ,3,1,2,1,2,1,1,4,2,3,1,3,3,2,3,1,8,7,7,4,8,2,5,8,4,5,4,1, , , , , , , , , ,3,3,1,4,1,3,4,3,1,3,2,3,3,3,3,2,2,1,1,8.383333333333342,6.125,2,6,1,5,6,F
2330,2,2,8,36,3,2,1,2,3,2,2,4,2,4,4,2,2,3,3,2,7,7,8,4,7,1,5,7,4,4,4,2, , , , , , , , , ,3,2,2,3,2,3,3,2,1,3,1,3,3,2,3,2,1,3,3,11.503333333333334,5.75,0,7,0,12,1,F
1749,2,4,17,16,1,4,4,3,3,3,4,2,2,2,2,2,2,2,2,2,6,6,4,4,5,4,3,6,2,4,2,1,3,1,2,1,2,2,1,4,3, , , , , , , , , , , , , , , ,6,2,3, ,7.716666666666663,4.75,3,9,0,7,1,F
97,2,2,13,19,1,2,1,1,1,1,1,3,3,4,3,3,4,4,4,3,7,3,5,3,5,5,3,5,1,4,1,5,3,2,1,1,1,1,1,4,2, , , , , , , , , , , , , , , ,3,1,2,1,37.75000000000001,4.5,4,3,3,3,7,T
2334,2,4,96,15,3,1,1,1,1,1,1,2,1,3,3,2,1,2,4,1,6,5,5,2,9,3,1,10,2,5,4,5,4,2,1,2,1,2,2,1,3, , , , , , , , , , , , , , , ,1,1,4,1,7.866666666666663,5.125,4,3,2,3,8,T
108,2,2,100, ,1,1,2,2,1,2,1,1,1,4,4,2,2,2,2,2,9,9,8,5,6,5,5,9,4,2,4,2,2,1,1,2,2,2,2,2,3, , , , , , , , , , , , , , , ,1,1,3,3,13.083333333333334,7.0,2,2,0,13,3,F
167,2,2,11,16,3,3,3,2,1,1,1,3,2,3,2,2,2,2,2,2,4,4,5,1,5,7,7,7,2,2,4,2, , , , , , , , , ,3,2,2,2,2,3,3,2,3,2,2,3,3,3,2,1,1,4,1,11.683333333333326,5.0,0,5,2,10,3,F
435,2,2,11,1,-98,2,2,2,1,1,2,3,3,3,5,4,4,4,3,4,7,4,5,4,6,3,6,8,2,2,2,2,3,2,1,2,2,1,2,3,1, , , , , , , , , , , , , , , ,8,2,2,1,6.2500000000000036,5.375,4,1,3,9,3,F
1540,2,5,11,37,3,3,3,-98,-98,-98,-98,2,2,2,1,1,2,3,2,1,2,5,4,1, ,1,3,3,4,4,4,2,3,2,1,1,2,2,2,3,3, , , , , , , , , , , , , , , ,2,2,4,3,18.983333333333338,2.375,2,9,4,3,2,F
1014,2,2,6,13,1,1,1,2,1,2,1,5,5,5,5,1,1,1,1,1,9,9,7,6,7,7,8,9,2,1,2,2,2,1,1,1,1,2,1,2,3, , , , , , , , , , , , , , , ,5,2,3,3,17.040000000000003,7.75,0,0,0,6,14,T
2490,2,2,26,1,1,2,2,1,2,2,2,2,1,2,2,1,1,2,3,1,5,4,4,1,8,3,2,8,2,2,4,2,3,1,1,1,1,1,2,1,3, , , , , , , , , , , , , , , ,6,2,2,1,8.649999999999995,4.375,1,5,0,10,4,F
229,2,2,8,1,4,4,2,1,1,1,1,2,2,2,1,3,3,1,2,1,3,4,2,1,5,2,1,7,2,2,2,4, , , , , , , , , ,1,1,3,3,2,2,3,3,3,3,2,3,3,3,3,2,1,3,1,23.166666666666668,3.125,2,6,0,6,6,F
296,2,4,1,4,97,2,1,1,1,1,1,3,5,3,2,2,2,3,2,2,8,8,8,3,8,7,3,8,1,5,5,1, , , , , , , , , ,3,4,4,4,4,4,2,2,3,2,3,3,3,3,3,2,2,2,3,38.03333333333327,6.625,2,3,2,5,8,T
2107,2,2,11,36,3,2,2,1,2,2,1,4,3,3,3,2,1,1,1,1,6,8,6,2,7,7,6,8,4,2,4,4, , , , , , , , , ,3,2,3,3,2,2,2,1,3,3,2,3,2,3,3,6,1,2,1,36.43333333333336,6.25,0,3,3,8,6,F
1981,2,2,-98, ,3,2,3,2,2,2,1,4,4,4,3,3,3,3,3,3,9,8,8,7,7,6,9,9,4,4,4,4, , , , , , , , , ,4,4,3,4,3,4,3,2,3,3,2,3,3,3,3,2,2,2,3,11.716666666666661,7.875,0,10,1,8,1,F
1170,2,2,20,11,101,1,1,2,2,2,2,3,3,4,4,3,2,4,3,3,7,7,8,5,7,7,3,8,4,4,4,4,3,1,1,2,1,2,1,3,2, , , , , , , , , , , , , , , ,6,2,2, ,7.700000000000001,6.5,1,7,2,8,2,F
553,2,2,17,35,3,2,2,2,1,2,1,3,4,3,2,2,2,2,3,3,7,7,8,5,5,1,5,8,4,4,4,4,1,1,1,2,2,2,2,2,2, , , , , , , , , , , , , , , ,2,2,1,1,15.216666666666669,5.75,0,7,2,9,2,F
1946,2,2,19,11,4,1,1,1,1,3,3,3,3,3,2,2,3,2,2,1,7,7,8,3,8,4,5,8,4,4,4,4,2,2,1,2,2,2,2,3,3, , , , , , , , , , , , , , , ,2,2,2,1,11.949999999999989,6.25,0,8,3,4,5,F
1132,2,2,1,13,1,2,4,1,1,1,1,4,4,5,4,3,3,3,4,2,7,7,4,2,9,4,1,8,2,4,2,2, , , , , , , , , ,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,1,2,3,1,9.966666666666672,5.25,2,4,0,9,5,F
577,2,4,11,1,3,2,2,1,1,1,1,5,5,2,5,2,1,3,3,1,6,5,3,1,3,3,2,10,2,2,4,2,3,2,2,2,2,1,2,3,2, , , , , , , , , , , , , , , ,1,1,3,1,8.283333333333335,4.125,0,5,0,6,9,F
1488,2,1,11,11,3,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,7,4,1,3,8,1,2,8,2,1,1,2,3,2,1,2,2,1,2,1,3, , , , , , , , , , , , , , , ,1,1,4,1,9.249999999999996,4.25,1,3,0,3,13,T
403,2,4,2,13,4,2,2,2,2,2,1,2,2,1,3,2,2,3,2,3,5,5,4,1,4,2,2,6,5,4,4,4,2,1,1,2,1,2,2,3,3, , , , , , , , , , , , , , , ,3,2,2,2,6.316666666666666,3.625,2,8,1,8,1,F
1767,2,1,13,29,1,1,1,1,1,1,1,3,3,3,3,3,3,2,3,3,8,6,6,1,6,6,1,8,4,4,4,4,1,2,1,1,1,2,1,4,2, , , , , , , , , , , , , , , ,6,1,4,2,24.583333333333332,5.25,0,8,4,1,7,F
2187,2,2,1,1,97,2,2,2,2,2,2,3,2,2,2,3,2,3,3,2,4,4,7,5,6,5,7,5,2,2,2,4,3,1,1,2,1,1,2,2,3, , , , , , , , , , , , , , , ,2,2,2,1,7.066666666666669,5.375,0,7,1,12,0,F
