srcid,Mode,Q1,Q2,Q3,Q4,Q5a,Q5b,Q5c,Q5d,Q5e,Q5f,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q10a,Q10b,Q10c,Q10d,Q12,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q14,Q15,Q16,Q17a,Q17b,Q17c,Q17d,Q17e,Q17f,Q18,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,StateMap,p_gender_sdc,p_age_group_sdc,p_education_sdc,total_time_taken,avg_trust_Q8,Vdisagree_count,disagree_count,neutral_count,agree_count,Vagree_count,opinionated
642,2,4,19,30,1,3,3,2,1,1,1,3,4,2,1,2,2,2,2,1,1,1,1,1,1,1,1,6,2,4,4,1,2,1,2,-98,1,1,1,3,2, , , , , , , , , , , , , , , ,4,2,4,3,13.800000000000004,1.625,1,6,1,7,5,F
461,2,4,13,1,101,3,2,3,2,2,1,3,3,3,3,3,3,3,2,1,7,7,7,1,7,5,4,6,2,4,2,2, , , , , , , , , ,2,3,2,2,2,3,3,3,3,3,3,3,3,4,3,4,1,2,2,18.566666666666663,5.5,0,7,4,7,2,F
13,1,2,11,26,3,4,4,4,1,2,4,1,1,1,1,1,1,1,1,1,3,6,4,2,5,3,5,6,2,4,4,5,4,1,1,2,2,2,2,2,3, , , , , , , , , , , , , , , ,4,1,4,2,12.566666666666672,4.25,9,2,0,3,6,T
1050,1,2,1,5,101,2,2,2,2,2,1,2,1,4,4,2,2,3,4,1,6,6,7, ,7,6, ,7,4,4,4,-99, , , , , , , , , ,3,3,3,3,2,-98,-98,1,2,-98,1,-98,-98,3,-98,4,2,4,3,22.616666666666635,4.875,2,5,0,10,2,F
924,2,2,16,1,3,1,1,1,1,2,2,2,2,3,3,1,3,3,2,1,6,9,8,4,9,6,5,7,4,4,4,2,2,1,1,1,2,2,2,3,3, , , , , , , , , , , , , , , ,4,2,2,3,19.299999999999994,6.75,0,7,2,5,6,F
997,2,2,1,18,1,2,2,2,2,2,2,3,3,3,3,1,1,2,1,1,7,7,5,1,6,3,4,8,5,5,4,2, , , , , , , , , ,2,3,3,3,2,1,3,3,3,3,2,3,3,4,3,4,2,4,1,9.69999999999999,5.125,2,1,4,9,4,F
1365,2,4,11,11,4,2,1,1,1,2,2,3,2,3,2,2,1,2,3,2,9,9,6,3,10,9,8,10,1,4,2,4, , , , , , , , , ,4,4,4,4,4,4,4,3,4,3,3,4,3,4,4,4,2,4,1,10.949999999999998,8.0,0,6,2,7,5,F
746,2,2,11,12,101,2,2,2,2,2,2,4,4,4,3,3,3,3,3,3,8,8,5,5,9,4,8,9,2,2,4,2,3,1,1,1,1,1,1,2,3, , , , , , , , , , , , , , , ,4,1,4,2,15.749999999999996,7.0,0,6,1,13,0,F
1,1,2,2,20,1,3,3,2,2,3,3,2,2,3,3,2,3,-98,1,2,6,6,6,2,7,2,1,8,4,4,5,-98, , , , , , , , , ,2,2,2,-98,2,-98,-98,1,2,2,1,3,2,2,3,4,2,4,1,23.050000000000008,4.75,1,9,3,5,1,F
681,2,2,16,33,-98,1,1,1,1,1,1,3,2,2,2,2,1,2,2,1,5,4,4,1,5,2,1,9,2,4,4,2,3,2,1,2,1,2,1,2,3, , , , , , , , , , , , , , , ,4,2,4,2,21.78333333333334,3.875,0,5,1,6,8,F
